Author,Scopus Author ID,Tags,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Ongoing Correction Request
"Llivisaca, Susana",57201348341,,ESPOL,Centros de Investigación Institucional,CADS,Analistas de investigación,,,,,,,
"Arias-Hidalgo, Mijail",36493874100,,ESPOL,Centros de Investigación Institucional,CADS,Profesores,,,,,,,
"Domínguez-Granda, Luis",6505735502,Director,ESPOL,Centros de Investigación Institucional,CADS,Profesores,,,,,,,
"Martillo, Carlos",56305394000,,ESPOL,Centros de Investigación Institucional,CADS,Profesores,,,,,,,
"Matamoros, David E.",12141256000,,ESPOL,Centros de Investigación Institucional,CADS,Profesores,,,,,,,
"Nolivos-Alvarez, Indira",55184033800,,ESPOL,Centros de Investigación Institucional,CADS,Profesores,,,,,,,
"Rosado-Moncayo, Andrea Mishell",57221385483,,ESPOL,Centros de Investigación Institucional,CADS,Técnicos de investigación,,,,,,,
"Ramos-Veliz, John Alex",57224516032,,ESPOL,Centros de Investigación Institucional,CADS,Técnicos de investigación,,,,,,,
"Mosquera-Romero, Suanny",57230375500,,ESPOL,Centros de Investigación Institucional,CADS,Profesores,,,,,,,
"López, Carlos",57129070200,,ESPOL,Centros de Investigación Institucional,CADS,Profesores,,,,,,,
"Agurto, Gabriela",57209882380,,ESPOL,Centros de Investigación Institucional,CENAIM,Analistas de investigación,,,,,,,
"Betancourt, Irma",14830267400,,ESPOL,Centros de Investigación Institucional,CENAIM,Analistas de investigación,,,,,,,
"Domínguez-Borbor, Cristóbal",57200542628,,ESPOL,Centros de Investigación Institucional,CENAIM,Analistas de investigación,,,,,,,
"Panchana, Fanny A.",6504761406,,ESPOL,Centros de Investigación Institucional,CENAIM,Analistas de investigación,,,,,,,
"Reinoso, Samira",57203752743,,ESPOL,Centros de Investigación Institucional,CENAIM,Analistas de investigación,,,,,,,
"Rodríguez-Pesantes, Daniel",57197715657,,ESPOL,Centros de Investigación Institucional,CENAIM,Analistas de investigación,,,,,,,
"Tomalá, Cecilia",57208798666,,ESPOL,Centros de Investigación Institucional,CENAIM,Analistas de investigación,,,,,,,
"Argüello Guevara, W.",55445248900,,ESPOL,Centros de Investigación Institucional,CENAIM,Profesores,,,,,,,
"Bayot, Bonny",6504224308,,ESPOL,Centros de Investigación Institucional,CENAIM,Profesores,,,,,,,
"Marquez, Adrian",37665506700,,ESPOL,Centros de Investigación Institucional,CENAIM,Profesores,,,,,,,
"Rodríguez, Jenny",7404697073,,ESPOL,Centros de Investigación Institucional,CENAIM,Profesores,,,,,,,
"Sonnenholzner, Stanislaus",18438697500,Director,ESPOL,Centros de Investigación Institucional,CENAIM,Profesores,,,,,,,
"Pinos-Tamayo, Edgar A.",57223025557,,ESPOL,Centros de Investigación Institucional,CENAIM,Técnicos de investigación,,,,,,,
"Bajaña, Leandro",57202754219,,ESPOL,Centros de Investigación Institucional,CENAIM,Técnicos de investigación,,,,,,,
"Bohórquez-Cruz, Milton",56461426500,,ESPOL,Centros de Investigación Institucional,CENAIM,Técnicos de investigación,,,,,,,
"Guillén, Paúl O.",57193872491,,ESPOL,Centros de Investigación Institucional,CENAIM,Técnicos de investigación,,,,,,,
"Jaramillo, Karla B.",57193871936,,ESPOL,Centros de Investigación Institucional,CENAIM,Técnicos de investigación,,,,,,,
"Patiño, Ricardo S.P.",57203978849,,ESPOL,Centros de Investigación Institucional,CENAIM,Técnicos de investigación,,,,,,,
"Reyes, Guillermo",57200512918,,ESPOL,Centros de Investigación Institucional,CENAIM,Técnicos de investigación,,,,,,,
"Reyes, Jessica Karina",57205611091,,ESPOL,Centros de Investigación Institucional,CENAIM,Técnicos de investigación,,,,,,,
"Hidalgo-León, Rubén",57205878061,,ESPOL,Centros de Investigación Institucional,CERA,Analistas de investigación,,,,,,,
"Porras, Frank",56376735700,,ESPOL,Centros de Investigación Institucional,CERA,Analistas de investigación,,,,,,,
"Espinoza-Andaluz, Mayken",57221228898,,ESPOL,Centros de Investigación Institucional,CERA,Profesores,,,,,,,
"Moreira, Cesar M.",34978993100,,ESPOL,Centros de Investigación Institucional,CERA,Profesores,,,,,,,
"Silva-Leon, Jorge",57197806178,,ESPOL,Centros de Investigación Institucional,CERA,Profesores,,,,,,,
"Soriano, Guillermo",24330258500,Director|Director,ESPOL,Centros de Investigación Institucional,CERA,Profesores,,,,,,,
"Tinoco, Diana L.",57115228200,,ESPOL,Centros de Investigación Institucional,CERA,Profesores,,,,,,,
"Torres, Miguel A.",57206660598,,ESPOL,Centros de Investigación Institucional,CERA,Profesores,,,,,,,
"Santana-Villamar, Jordy",57211218728,,ESPOL,Centros de Investigación Institucional,CERA,Técnicos de investigación,,,,,,,
"Varela, Christopher",57219451077,,ESPOL,Centros de Investigación Institucional,CERA,,,,,,,,
"Chávez-Navarrete, Tatiana Paola",57188977569,,ESPOL,Centros de Investigación Institucional,CIBE,Analistas de investigación,,,,,,,
