






"Subject areas","Documents"
"Computer Science","813"
"Engineering","767"
"Social Sciences","476"
"Agricultural and Biological Sciences","431"
"Environmental Science","312"
"Mathematics","303"
"Energy","250"
"Earth and Planetary Sciences","196"
"Physics and Astronomy","190"
"Biochemistry, Genetics and Molecular Biology","168"
"Medicine","144"
"Materials Science","141"
"Chemistry","135"
"Decision Sciences","134"
"Business, Management and Accounting","124"
"Chemical Engineering","84"
"Immunology and Microbiology","83"
"Economics, Econometrics and Finance","76"
"Arts and Humanities","51"
"Multidisciplinary","49"
"Pharmacology, Toxicology and Pharmaceutics","36"
"Psychology","12"
"Health Professions","10"
"Nursing","10"
"Neuroscience","8"
"Veterinary","8"
